stock_id,name,chip_trend_days,chip_concentration_threshold,chip_latest_date,chip_available_days,chip_concentration_pct,chip_concentration_score,main_force_net,main_force_score,broker_diff,broker_diff_score,chip_signal_state,chip_signal_text,chips_updated_at,chips_status,chips_reason,finmind_token_status,finmind_token_source,finmind_token_masked,finmind_user_count,finmind_api_request_limit,finmind_remain,finmind_usage_checked_at
2313,華通,3,15.0,,,3.64,0,-5270879,-0.5,4,0.5,neutral,籌碼震盪，方向未定,2026-06-01 12:14:25,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,880,6000,5120,2026-06-01 12:14:45
2449,京元電子,3,15.0,,,4.36,0,-4479763,0.5,15,0.5,neutral,籌碼震盪，方向未定,2026-06-01 12:14:25,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,880,6000,5120,2026-06-01 12:14:43
3645,達邁,3,15.0,,,3.0,0,248521,-0.5,0,0.5,neutral,籌碼震盪，方向未定,2026-06-01 12:14:25,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,880,6000,5120,2026-06-01 12:14:39
3665,貿聯-KY,3,15.0,,,0.77,0,-22972,-1.0,143,1.0,bearish_distributed,主力連3賣、買賣家數差連3正，籌碼流向散戶風險高,2026-06-01 12:14:25,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,880,6000,5120,2026-06-01 12:14:39
6510,精測,3,15.0,,,3.74,0,49348,0.5,132,1.0,neutral,籌碼震盪，方向未定,2026-06-01 12:14:25,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,880,6000,5120,2026-06-01 12:14:38
6691,洋基工程,3,15.0,,,5.33,0,-59190,-0.5,220,1.0,neutral,籌碼震盪，方向未定,2026-06-01 12:14:25,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,880,6000,5120,2026-06-01 12:14:37
6805,富世達,3,15.0,,,13.0,0,770317,1.0,-326,-1.0,neutral,籌碼震盪，方向未定,2026-06-01 12:14:37,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,880,6000,5120,2026-06-01 12:14:50
7717,萊德光電-KY,3,15.0,,,5.0,0,-71999,-0.5,162,0.5,neutral,籌碼震盪，方向未定,2026-06-01 12:14:38,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,880,6000,5120,2026-06-01 12:14:50
8996,高力,3,15.0,,,3.91,0,-186924,-1.0,250,1.0,bearish_distributed,主力連3賣、買賣家數差連3正，籌碼流向散戶風險高,2026-06-01 12:14:39,ok,,ok,FINMIND_TOKEN,eyJ0...E3S4,880,6000,5120,2026-06-01 12:14:52
